,0,CS_v1,CS_v2,CS_v3,PW_v1,PW_v2,PW_v3
5194,Liebe,Lbmbb,Lqtbp,Lxkbh,Läebi,Luibü,Laubu
5195,faul,ftwl,fxkl,frrl,feal,fuil,füol
5196,loest,lldst,lnfst,lwdst,leest,luost,loast
5197,Setzt,Swtzt,Sktzt,Svtzt,Sotzt,Sutzt,Sutzt
5198,treue,trdrq,tryhx,trhnx,triee,treui,trooa
5199,antat,dntxt,cntyt,vntqt,intot,intet,intot
5200,surfe,sqrfv,shrfg,slrff,sorfi,surfu,sorfu
5201,Spot,Spjt,Sptt,Spct,Sput,Spet,Spet
5202,Fand,Fhnd,Fmnd,Ffnd,Fend,Fünd,Fönd
5203,Straf,Strnf,Strdf,Strqf,Strof,Strif,Strof
5204,Trug,Trlg,Trpg,Trdg,Trig,Treg,Trüg
5205,Legt,Lkgt,Lggt,Lngt,Lugt,Lagt,Lügt
5206,facto,fmctl,fjctt,fgctf,focti,facti,fecta
5207,Durch,Dbrch,Dzrch,Dsrch,Derch,Darch,Dorch
5208,Ekeln,Tkcln,Fkhln,Zknln,Üküln,Ukeln,Ökuln
5209,Barde,Bhrdd,Bfrdn,Bqrdh,Berda,Burda,Bürdä
5210,sacht,sscht,srcht,shcht,sücht,socht,sicht
5211,lagt,lmgt,lbgt,lqgt,ligt,logt,ligt
5212,Moege,Mjvgr,Mmqgl,Mctgx,Miigö,Mooga,Maega
5213,angab,jngvb,fnglb,mngtb,ingeb,üngob,ingob
5214,sehr,sghr,syhr,sfhr,sihr,suhr,suhr
5215,guck,gcck,gxck,ggck,geck,gäck,geck
5216,Saugt,Smvgt,Skdgt,Srhgt,Suügt,Seugt,Suagt
5217,mixte,mwxtk,mzxtb,mzxtf,müxte,möxti,mexto
5218,Hackt,Hqckt,Hwckt,Hqckt,Huckt,Hickt,Höckt
5219,zogst,zfgst,zsgst,zbgst,zugst,zegst,zögst
5220,Keuch,Ksgch,Kwmch,Kzlch,Koich,Koich,Köoch
5221,Harke,Hdrkw,Hyrkb,Hhrkm,Hörko,Herko,Hirkü
5222,Watt,Wwtt,Wmtt,Wktt,Wett,Wutt,Wött
5223,Lehrt,Ldhrt,Lmhrt,Lthrt,Lohrt,Lihrt,Lahrt
5224,Saudi,Spddb,Stxdc,Sstdv,Saidu,Saado,Seado
5225,Kopfs,Kspfs,Ktpfs,Knpfs,Kepfs,Kipfs,Kepfs
5226,Dicke,Dxckx,Dgckq,Dbckw,Docke,Decko,Ducki
5227,Mini,Mtns,Mvnx,Mqnx,Muni,Menä,Moni
5228,Lava,Lfvp,Lyvn,Lgvv,Leve,Lövo,Lavi
5229,mehre,mhhrh,mqhrt,mzhrw,mihru,muhrö,möhre
5230,zahl,zhhl,zzhl,zrhl,zohl,zehl,zähl
5231,dran,drxn,drhn,drkn,dren,drun,dren
5232,setze,sbtzy,swtzp,sntzk,satzo,sotzi,satzi
5233,Zange,Zrngz,Znngq,Zdngb,Zenge,Zenga,Zungu
5234,Borke,Bnrkt,Blrkl,Bdrkf,Barki,Bürke,Burke
5235,Funk,Fbnk,Ffnk,Fqnk,Fank,Fenk,Fänk
5236,Zahlt,Zchlt,Zzhlt,Zchlt,Zehlt,Zehlt,Zihlt
5237,Vulva,Vqlvv,Vflvd,Vllvp,Vulve,Valvi,Volvi
5238,Immer,Wmmhr,Kmmmr,Rmmbr,Ammer,Ammür,Ummur
5239,Leibe,Lrrbh,Lzzbb,Lkhbs,Loebu,Laebe,Leabu
5240,hoc,hyc,hjc,hmc,hüc,hüc,hic
5241,Bons,Byns,Btns,Bgns,Buns,Buns,Bins
5242,April,Tprsl,Zprrl,Yprbl,Uprul,Iprul,Ipril
5243,Picke,Pfckx,Plcks,Phcky,Pecke,Packa,Pocki
5244,Garbo,Gmrbx,Gprbx,Gqrbs,Garbi,Girbe,Girbä
5245,Jenen,Jhnsn,Jbnln,Jbnsn,Jinin,Junon,Jinün
5246,nervt,nwrvt,nfrvt,nyrvt,nurvt,norvt,nurvt
5247,Werfe,Wnrfn,Wxrfp,Wnrfb,Worfä,Wirfe,Wirfu
5248,Kalis,Knlds,Kglrs,Kzlxs,Kolas,Kelus,Kelis
5249,half,hxlf,hglf,hclf,helf,holf,helf
5250,Liz,Lgz,Lcz,Lvz,Lez,Luz,Lez
5251,floss,fljss,fljss,flcss,flass,flass,flüss
5252,mehr,mdhr,myhr,mvhr,muhr,mohr,mihr
5253,Asse,Sssd,Vssk,Lssd,Ossä,Ässo,Ossu
5254,Glied,Glkgd,Glngd,Glpnd,Gläid,Gload,Glaid
5255,Leder,Lkdxr,Lgdzr,Lsdmr,Ledur,Ledir,Ludar
5256,Zwist,Zwlst,Zwpst,Zwjst,Zwust,Zwäst,Zwust
5257,passé,pwssé,pyssé,psssé,pissé,pössé,possé
5258,Fibel,Fxbvl,Fybcl,Flbdl,Fobal,Fibal,Febil
5259,Makro,Mykrf,Mjkrs,Mskrl,Makra,Mikru,Mokro
5260,Japan,Jrpgn,Jkphn,Jtpyn,Jepun,Jipen,Jepön
5261,linke,lvnkg,lnnky,ljnkj,linku,lanko,lenka
5262,Jacks,Jwcks,Jzcks,Jqcks,Jocks,Jücks,Jecks
5263,Webst,Wybst,Wmbst,Wdbst,Wabst,Wabst,Wabst
5264,dies,drcs,dqss,dcms,daos,duus,düos
5265,Kenne,Kcnnh,Krnnj,Kdnnm,Kunna,Kunni,Künne
5266,Bunde,Bdndf,Bbndj,Brndg,Bendi,Binda,Bandu
5267,Fuege,Fllgj,Fmlgn,Fydgm,Fäegi,Fooge,Fiiga
5268,Julis,Jylps,Jjlps,Jylns,Jalas,Jilas,Jales
5269,Hufen,Hbffn,Hqftn,Hrfzn,Hifin,Hefan,Hofon
5270,Hinkt,Hqnkt,Hsnkt,Hgnkt,Hunkt,Hänkt,Honkt
5271,Ihrer,Khrdr,Vhrtr,Jhrjr,Ahrer,Ehrir,Ührer
5272,vorm,vwrm,vtrm,vnrm,virm,vürm,verm
5273,Butan,Bbtjn,Bjtbn,Bvtln,Bitin,Bäten,Bitin
5274,gab,gdb,gxb,gmb,gub,güb,gob
5275,Regt,Rvgt,Rqgt,Rfgt,Rigt,Rigt,Rogt
5276,Tests,Tfsts,Ttsts,Ttsts,Tosts,Tusts,Tusts
5277,Gern,Gwrn,Gnrn,Gdrn,Girn,Gürn,Girn
5278,Feige,Fwngm,Fdbgt,Fnqgf,Faagu,Faugi,Foagu
5279,grell,grzll,grfll,grvll,groll,gräll,grull
5280,Bon,Bjn,Bfn,Bdn,Ban,Ban,Bön
5281,nutzt,njtzt,nvtzt,njtzt,nätzt,notzt,netzt
5282,purem,phrbm,pprbm,pcrnm,peröm,parüm,piräm
5283,Kiosk,Kvcsk,Kvzsk,Khgsk,Koosk,Kaesk,Kuäsk
5284,nenne,ntnnx,nhnnc,nmnnf,ninni,nanno,nenni
5285,Gamma,Gpmmv,Gjmml,Gkmms,Gemmu,Gumme,Gömmo
5286,Rufs,Rdfs,Rzfs,Rxfs,Räfs,Rafs,Rafs
5287,stufe,stkfk,stnft,strfn,stufu,stefö,stufa
5288,derer,dbrdr,dwrnr,dbrpr,darir,direr,durer
5289,Bade,Bcdz,Bqdh,Bqdd,Badi,Bado,Bedä
5290,Kraft,Krnft,Krwft,Krbft,Kroft,Krift,Kroft
5291,Zerr,Zrrr,Zdrr,Zxrr,Zorr,Zarr,Zurr
5292,Zorro,Ztrry,Zzrrp,Zwrrh,Zirro,Zerro,Zarri
5293,Logge,Lsggz,Lfggk,Lpggp,Liggä,Leggu,Luggi
5294,niest,nmtst,nyjst,nxtst,nuest,neust,nuast
5295,Kaufs,Krcfs,Kkhfs,Kptfs,Kaefs,Kuifs,Kaofs
5296,smart,smyrt,smwrt,smyrt,smört,smert,smürt
5297,trau,trcm,trnh,trsn,triü,trüo,träi
5298,jagt,jsgt,jsgt,jvgt,jegt,jigt,jogt
5299,immun,wmmdn,qmmbn,smmgn,immen,ömmun,ummon
5300,Amen,Lmkn,Gmwn,Fmkn,Üman,Emin,Omon
5301,Reime,Rctmz,Rhwmz,Rfqmp,Riimü,Riumi,Roumö
5302,Ehrst,Chrst,Hhrst,Khrst,Ahrst,Ahrst,Uhrst
5303,Clone,Clhnr,Clhnh,Clcnz,Clöno,Cline,Clino
5304,Hauer,Hmmnr,Hrpwr,Hwlgr,Hioar,Hoöur,Heöor
5305,Apfel,Zpfrl,Wpfvl,Mpfhl,Öpfel,Apful,Upful
5306,Graz,Grtz,Grzz,Grsz,Gruz,Groz,Gruz
5307,Chart,Chrrt,Chprt,Chwrt,Chort,Chert,Churt
5308,Raums,Rtlms,Rnkms,Rldms,Ruems,Riems,Reams
5309,Prime,Prfmf,Prbmc,Prhml,Prömu,Prümo,Pramo
5310,Herd,Hrrd,Hdrd,Hvrd,Hird,Hard,Hard
5311,glitt,glptt,glvtt,glktt,glutt,glött,glett
5312,Darum,Dzrtm,Dgrlm,Dxrzm,Dirim,Derum,Dirüm
5313,Worms,Wtrms,Wyrms,Wbrms,Wärms,Wirms,Wärms
5314,Droge,Drygg,Drngl,Drfgy,Dregü,Druge,Dröge
5315,Taiga,Tzhgl,Trsgy,Tjzgk,Toogi,Tüügu,Toäge
5316,Taue,Tqsh,Tpsj,Ttys,Tuoe,Töuo,Tuiä
5317,Keins,Krbns,Kbdns,Kmmns,Kiens,Kouns,Koans
5318,Rolle,Rflln,Rglls,Rrllw,Rulla,Rulli,Rilli
5319,ruht,rcht,rzht,rwht,röht,riht,riht
5320,Tobt,Tzbt,Tdbt,Twbt,Tabt,Tebt,Tebt
5321,Tim,Tjm,Ttm,Tnm,Tum,Tum,Tom
5322,losen,lzscn,lrsnn,ldsvn,losän,lusun,luson
5323,Dolch,Dslch,Dtlch,Dglch,Dölch,Dilch,Delch
5324,wehre,wthrh,wxhrf,wrhrz,wahra,wohru,wahri
5325,Gangs,Ghngs,Gnngs,Gpngs,Gungs,Güngs,Gungs
5326,zweit,zwgdt,zwzjt,zwrqt,zwiot,zwuit,zwoit
5327,Kochs,Kpchs,Klchs,Kkchs,Kächs,Kachs,Kachs
5328,Ebbe,Hbbz,Qbbt,Wbbk,Ubbü,Ubbu,Abbo
5329,webe,wfbq,wjbw,wnbk,wibä,wibo,wabu
5330,alt,mlt,jlt,jlt,ilt,ult,ölt
5331,winde,wbndb,wcndb,whndn,wendo,wando,wando
5332,hexen,htxrn,hbxtn,hkxwn,hoxen,hixun,haxon
5333,Amtes,Cmtrs,Ymtfs,Xmtzs,Ömtos,Umtes,Ämtes
5334,bewog,bzwrg,bcwrg,bvwqg,buwag,bowig,buwög
5335,dass,djss,dpss,drss,diss,doss,doss
5336,viel,vbhl,vrsl,vxwl,vöel,vuel,vüul
5337,Bisse,Btsst,Bvssf,Bqssy,Bosso,Bossi,Bissa
5338,moegt,mqggt,mmggt,mtmgt,miagt,meegt,muugt
5339,wankt,wpnkt,wpnkt,wcnkt,wonkt,wonkt,wonkt
5340,zerrt,zhrrt,zwrrt,zyrrt,zorrt,zorrt,zurrt
5341,blass,blkss,bldss,blxss,bliss,bliss,bliss
5342,feil,fsjl,fffl,fwml,fuil,feal,faöl
5343,Eben,Ybbn,Nbjn,Jbrn,Ubön,Abun,Abun
5344,Beule,Bwslb,Blylm,Bzjlh,Büele,Biili,Büole
5345,Maya,Mkyk,Mkyn,Mcyq,Miyi,Moye,Moyi
5346,Ionen,Grnbn,Tbnzn,Glnnn,Oinin,Oinen,Uunan
5347,Code,Cvdp,Crdj,Cbdj,Cada,Cedä,Cude
5348,Pumas,Pdmjs,Pdmps,Pymvs,Pimas,Pamis,Pomas
5349,Dorfs,Drrfs,Ddrfs,Djrfs,Dirfs,Därfs,Durfs
5350,denen,dknln,dpnkn,dmnln,dänon,donun,dunen
5351,komm,kmmm,khmm,kmmm,kemm,kemm,kemm
5352,gingt,gxngt,gvngt,gdngt,gengt,gongt,gangt
5353,Lenze,Lqnzg,Lmnzr,Lpnzd,Lonzo,Linzü,Lenzö
5354,Adieu,Gdqbp,Xdtyv,Ddldx,Odiuo,Iduoi,Üduao
5355,Plump,Plnmp,Plhmp,Plsmp,Plamp,Plimp,Plümp
5356,Armes,Crmcs,Frmss,Mrmks,Armas,Örmos,Irmas
5357,Bart,Btrt,Brrt,Blrt,Burt,Bärt,Bört
5358,legte,lggtx,lrgth,lsgtd,lagti,lugtu,logtu
5359,heute,hmptx,hdvtk,hsbtm,huute,hoata,hoeto
5360,Shell,Shnll,Shbll,Shpll,Shill,Shäll,Shill
5361,juckt,jdckt,jfckt,jkckt,jockt,jeckt,jockt
5362,hupte,hwptl,hzptf,hwptv,haptä,hapta,hopte
5363,Senil,Srnvl,Scnyl,Sknvl,Sinil,Sunul,Senal
5364,Kunst,Khnst,Krnst,Kcnst,Konst,Kanst,Kenst
5365,Bark,Blrk,Bvrk,Bnrk,Bürk,Börk,Berk
5366,Guts,Gnts,Ghts,Gxts,Gots,Gits,Gats
5367,Bert,Bjrt,Bdrt,Bwrt,Bort,Bort,Burt
5368,Queen,Qdcsn,Qrbzn,Qsynn,Qöaen,Qeiän,Qääin
5369,Axel,Bxbl,Pxfl,Fxrl,Ixal,Üxul,Öxal
5370,Sande,Sdndm,Skndv,Stndg,Sondu,Sündo,Sendü
5371,Wahr,Wvhr,Wphr,Wqhr,Wihr,Wöhr,Wohr
5372,beim,bqsm,bsqm,bhtm,beem,buim,baum
5373,Fink,Fbnk,Ftnk,Fbnk,Fünk,Fank,Fank
5374,Khans,Khqns,Khsns,Khtns,Khens,Khens,Khuns
5375,Punks,Pznks,Psnks,Pfnks,Penks,Pinks,Pinks
5376,bannt,bjnnt,bynnt,bdnnt,bonnt,bonnt,bönnt
5377,Hose,Hqsb,Hbsf,Htss,Heso,Hösu,Hisi
5378,Nacht,Nzcht,Nrcht,Nzcht,Nücht,Nöcht,Necht
5379,kein,kcwn,kmkn,krwn,koin,kiun,kean
5380,Plan,Plzn,Plkn,Plyn,Plun,Plen,Plun
5381,reger,rqgzr,rygzr,rggrr,roger,rigar,ragir
5382,Lauf,Lcvf,Lmbf,Lygf,Loaf,Laaf,Löof
5383,Aehre,Qfhrd,Jqhrt,Gchrj,Öihre,Eihru,Äähru
5384,packe,pgckf,pmckn,pyckh,pucki,picka,packi
5385,Doras,Dhrvs,Dxrts,Dfrms,Dorus,Duras,Dores
5386,Arte,Zrtr,Frtd,Xrtz,Orto,Ärti,Orto
5387,Babys,Bhbys,Bbbys,Bvbys,Bobys,Bibys,Bubys
5388,Ruht,Rmht,Rcht,Rcht,Roht,Reht,Reht
5389,Akut,Jkrt,Pkvt,Skht,Akot,Uket,Äkut
5390,zollt,zcllt,zcllt,zvllt,zillt,zillt,zillt
5391,Gusto,Glstm,Ghstp,Gxstm,Gosti,Goste,Gastö
5392,Fan,Fnn,Fbn,Fln,Fon,Fon,Fon
5393,Asses,Tssxs,Lssbs,Nssqs,Üssus,Ossus,Issus
5394,fiel,fwxl,fjhl,fsml,fool,fiol,fuul
5395,Roms,Ryms,Rhms,Rqms,Rems,Rims,Rems
5396,altes,kltjs,wltfs,bltks,altus,iltis,iltos
5397,Zwing,Zwrng,Zwmng,Zwmng,Zweng,Zwung,Zweng
5398,Kaust,Kjsst,Ktxst,Kmmst,Kuust,Kuest,Kuüst
5399,wie,wrq,wgh,wjx,woö,wea,wui
5400,acht,bcht,vcht,zcht,ocht,ocht,icht
5401,Abzug,Mbzzg,Qbzbg,Tbzvg,Abzog,Obzäg,Ibzög
5402,Darms,Dlrms,Dprms,Dprms,Dirms,Derms,Dirms
5403,Sole,Sjlr,Swlq,Stld,Sülü,Sile,Säle
5404,Ruder,Rmddr,Rxdlr,Rydmr,Ridör,Rodör,Rudor
5405,Kamm,Ktmm,Kjmm,Kqmm,Kemm,Kemm,Kemm
5406,Horst,Htrst,Hhrst,Hdrst,Hürst,Harst,Harst
5407,fades,fcdps,fydqs,fkdrs,fidas,fudös,fadäs
5408,freie,frbml,frxxh,frglg,freoi,froaa,froöa
5409,filme,fdlmm,fclmj,fxlml,falmo,filmo,fulmä
5410,Kitts,Kbtts,Kktts,Kqtts,Ketts,Kutts,Kütts
5411,erbat,nrbft,jrbyt,grbst,irbit,erbit,urbüt
5412,brave,brmvk,brrvy,brrvw,brivo,bräva,bruvi
5413,Foren,Fvrrn,Fgrhn,Fgrpn,Foran,Faran,Farön
5414,Magie,Mxgnr,Mtgxz,Mrgwn,Magee,Mugoo,Mugaö
5415,bloss,blbss,blvss,bllss,bluss,bless,bluss
5416,Fett,Fgtt,Fftt,Fgtt,Fitt,Fitt,Fitt
5417,Slum,Slwm,Sltm,Slcm,Slim,Slim,Slim
5418,fader,fcdlr,fmdcr,fldcr,fadar,fädir,födur
5419,Unart,Tnnrt,Cnkrt,Rnbrt,Anirt,Unirt,Ünört
5420,Doch,Dwch,Dsch,Dgch,Dech,Duch,Duch
5421,Lied,Lbpd,Ljdd,Ldtd,Loed,Löäd,Luid
5422,hoer,htgr,hxnr,hlhr,hiur,häar,heor
5423,Spare,Spqrm,Sptrt,Spjrl,Spera,Speri,Speri
5424,Khan,Khbn,Khbn,Khgn,Khon,Khin,Khen
5425,Eder,Ddgr,Qdgr,Fdgr,Idar,Odär,Ider
5426,borgt,bqrgt,bmrgt,byrgt,bergt,bergt,burgt
5427,Nina,Ndnr,Npnp,Nrnw,Näne,Nüni,None
5428,Malst,Mvlst,Mglst,Mjlst,Melst,Mulst,Mulst
5429,vager,vpgxr,vbgkr,vnghr,vigor,vägör,vugur
5430,Genom,Gynfm,Ggnkm,Gsnbm,Ginom,Ginem,Ginem
5431,Fluss,Flyss,Flbss,Flgss,Fläss,Fliss,Fliss
5432,riebe,rcxbk,rztbn,rlvbz,roübu,roäbo,röabo
5433,Wahre,Wghrt,Wthrt,Wmhrx,Wahra,Wohrä,Wehri
5434,Krim,Krtm,Krtm,Krpm,Krom,Krom,Krum
5435,Koks,Kfks,Ksks,Kkks,Kaks,Kuks,Kiks
5436,Pumpt,Pmmpt,Plmpt,Pjmpt,Pempt,Pimpt,Pimpt
5437,relax,rplpx,rslyx,rjlzx,rulax,rölex,rulux
5438,inne,gnnc,gnng,xnns,unna,unnu,unnü
5439,Jubel,Jrbrl,Jcbyl,Jmbml,Jibol,Jübel,Jöbil
5440,mich,mbch,mgch,mdch,möch,moch,mech
5441,Mehl,Mjhl,Mdhl,Mchl,Mohl,Muhl,Mihl
5442,Glueh,Glhsh,Glymh,Gllqh,Gloeh,Glouh,Glaih
5443,Liga,Lygl,Lhgj,Lvgb,Loga,Lagi,Logü
5444,Harfe,Hzrfr,Hmrfc,Hmrfw,Härfa,Harfi,Hurfa
5445,neunt,nnlnt,nnjnt,ngpnt,nient,neint,naent
5446,Kabel,Kpbll,Kgbkl,Knbml,Kebul,Kebul,Kübal
5447,ahmen,zhmqn,bhmnn,xhmcn,ehman,ühmin,uhmon
5448,Liste,Llstd,Ldstv,Lvstx,Lastü,Luste,Losti
5449,Manch,Msnch,Mqnch,Mbnch,Minch,Mench,Münch
5450,Stile,Stdlg,Stclb,Stglb,Stula,Stulo,Stilü
5451,Pickt,Pzckt,Plckt,Pwckt,Puckt,Peckt,Puckt
5452,lockt,lrckt,lmckt,lbckt,lückt,luckt,luckt
5453,Zaun,Zxwn,Zbbn,Zfzn,Zuin,Ziön,Zaön
5454,Ing,Dng,Fng,Png,Ong,Ang,Ung
5455,Latz,Ljtz,Lqtz,Lntz,Lütz,Litz,Lotz
5456,Dank,Dwnk,Dznk,Dfnk,Dänk,Donk,Dunk
5457,alles,zllzs,cllds,cllxs,ollis,üllus,ullus
5458,Ochs,Cchs,Vchs,Mchs,Uchs,Ichs,Ichs
5459,triff,trcff,trpff,trdff,traff,troff,troff
5460,roden,rwdln,rpdvn,rddnn,riden,radun,rudan
5461,Sam,Swm,Shm,Sdm,Sem,Süm,Sem
5462,Steg,Sthg,Stkg,Sthg,Stäg,Stug,Stog
5463,wehe,wdhw,wbhy,wkhx,wuhe,wihi,woha
5464,boten,bgtyn,bstwn,bkthn,botun,beton,böton
5465,Blick,Blbck,Blvck,Blsck,Bluck,Black,Black
5466,deale,dbvld,dxblj,djqlb,deäle,diili,däölä
5467,Mahlt,Mwhlt,Mghlt,Mrhlt,Muhlt,Mohlt,Mihlt
5468,Tode,Txdk,Tmdq,Tldj,Tudo,Todo,Tede
5469,Teils,Tvwls,Tdjls,Tvhls,Taols,Tüols,Toels
5470,Hang,Hgng,Hjng,Hlng,Hong,Hung,Hung
5471,Neigt,Nfhgt,Nzjgt,Nvjgt,Näögt,Nuugt,Nuügt
5472,Fauns,Fvwns,Fwzns,Fnbns,Foens,Fuöns,Fuans
5473,ducke,dvckw,ddcks,dlckq,ducka,dicku,decko
5474,Bauer,Bgkdr,Bkgtr,Bjhvr,Buuor,Beior,Baaär
5475,einig,kxnhg,lknmg,tmnmg,oanag,oinäg,eanäg
5476,Diene,Dkvnr,Dglnd,Dtjnn,Diönü,Doene,Doana
5477,Satan,Shtyn,Swtmn,Sktrn,Soton,Sutan,Sitin
5478,ipso,cpss,mpsc,wpsk,öpsi,opsa,opse
5479,Inuit,Wnbht,Tnmrt,Bnbtt,Enuut,Önaät,Uneut
5480,Tito,Trth,Tftj,Tqts,Tati,Titu,Tuta
5481,eures,zhrrs,strfs,rqrds,uäres,uirüs,öoros
5482,Torso,Tnrsr,Tcrsg,Ttrsm,Tirsu,Torse,Tersa
5483,merke,mzrkw,mrrkz,mgrkr,morko,marko,merkö
5484,Kranz,Krpnz,Krrnz,Krbnz,Krinz,Krenz,Krinz
5485,kahle,kfhlq,kyhlc,kwhln,kahlo,kihle,kahlu
5486,Hufe,Hhfw,Hkfc,Hxfm,Hofo,Hefu,Hüfe
5487,Psalm,Psllm,Psdlm,Psrlm,Psälm,Psölm,Psulm
5488,Andys,Jndys,Nndys,Cndys,Undys,Ondys,Indys
5489,Fuer,Flnr,Ftfr,Fxhr,Faär,Fiir,Füor
5490,Pauls,Pvgls,Pxhls,Pjrls,Pääls,Pöals,Paals
5491,Watte,Wfttp,Wkttj,Wzttb,Wetto,Wutta,Witto
5492,Zwang,Zwfng,Zwkng,Zwcng,Zwong,Zwüng,Zwöng
5493,Purer,Pbrwr,Psrmr,Phrvr,Porir,Pirer,Parür
5494,Haust,Hxcst,Hfhst,Hvrst,Hoast,Heest,Huust
5495,Grade,Grsdf,Grmdb,Grldp,Grude,Grada,Gredi
5496,Loewe,Lxbwz,Ldywt,Lltwf,Leawö,Leiwe,Leowu
5497,boxen,bjxln,brxkn,blxrn,buxon,baxen,böxun
5498,Organ,Nrgrn,Zrgzn,Yrghn,Ürgin,Urgen,Ergin
5499,Ada,Qdp,Ddn,Cdq,Adi,Ida,Ado
5500,Eber,Qbxr,Kbmr,Bbcr,Obir,Ebur,Ibir
5501,Spitz,Spttz,Spvtz,Spltz,Spetz,Spotz,Spätz
5502,Omega,Bmngb,Tmkgl,Zmggx,Imugi,Emago,Imigu
5503,stete,stwty,stdtp,stdtd,stuta,stitö,stotü
5504,Boee,Bhhc,Bbpg,Bbbl,Boüi,Boao,Biaä
5505,Vamps,Vfmps,Vxmps,Vlmps,Vimps,Vemps,Vämps
5506,Wisst,Whsst,Wvsst,Wpsst,Wesst,Wosst,Wässt
5507,weile,wkllv,wxtls,wwblx,wiäli,wiili,waöli
5508,rings,rwngs,rmngs,rqngs,rongs,rongs,rängs
5509,Wim,Wmm,Wlm,Wbm,Wom,Wum,Wam
5510,Sah,Sxh,Sqh,Sgh,Soh,Sih,Suh
5511,Sieg,Sxfg,Sgmg,Sjfg,Soeg,Siig,Saog
5512,Pippi,Pmppz,Pzppx,Pbppc,Pappo,Pappi,Puppä
5513,hurra,hprrq,hmrrw,hnrrb,hurro,hirro,hirri
5514,warne,wgrnh,wdrnn,wnrnk,werna,warnä,warno
5515,Fasst,Fxsst,Fvsst,Fpsst,Fusst,Fosst,Fesst
5516,Lobes,Lhbqs,Llbvs,Lcbxs,Lubes,Labos,Labes
5517,abbog,zbbyg,sbbbg,rbbsg,öbbäg,ibbüg,obbeg
5518,Korea,Kdrcl,Kdrml,Kxrgy,Koroi,Keruu,Kureo
5519,Hofft,Hkfft,Hqfft,Hqfft,Hafft,Hufft,Hafft
5520,Bin,Bzn,Bzn,Bzn,Ban,Ban,Bun
5521,Rom,Rjm,Rgm,Rsm,Ram,Ram,Rüm
5522,Wade,Wwdy,Wzdd,Wbdx,Wodo,Wode,Widi
5523,hohl,hghl,hchl,hshl,hehl,hehl,hahl
5524,Reiht,Rrvht,Rjbht,Rfjht,Rieht,Ruoht,Riuht
5525,Haute,Hnptp,Hdbtq,Hmrtq,Hauto,Hoite,Hiatü
5526,Lord,Lsrd,Lcrd,Llrd,Lürd,Lird,Lerd
5527,spiet,spnrt,spnft,spcgt,spoet,spoot,spiut
5528,Pils,Prls,Pqls,Phls,Pels,Päls,Pals
5529,Toter,Tpttr,Thtbr,Tmtrr,Tetar,Tatur,Totür
5530,Snobs,Sngbs,Sndbs,Snsbs,Snubs,Snibs,Snubs
5531,Jage,Jxgk,Jqgn,Jbgb,Jogi,Jagä,Juge
5532,ahoi,mhls,phrc,phhz,aheo,ehia,ehuo
5533,Jute,Jqtv,Jztw,Jdtg,Jata,Jiti,Jitu
5534,genau,gsnpg,gfnfv,gxncx,ganüe,ganoa,genüa
5535,kotze,kmtzp,kltzy,kgtzt,kützo,katze,kätzi
5536,friss,fryss,frgss,frqss,fräss,fross,fross
5537,Seine,Sssnp,Shwnv,Sntnk,Säona,Sooni,Suäni
5538,wir,wgr,wdr,wfr,wör,wor,wür
5539,Soli,Sklr,Sglg,Sllh,Sulu,Sila,Silu
5540,neigt,nszgt,nklgt,nzvgt,niugt,noagt,nöugt
5541,Spuke,Spqkh,Sphkj,Spzkz,Spüko,Spuki,Spaku
5542,Fehle,Ffhlz,Fhhlx,Frhlq,Fihla,Fohlo,Fohlü
5543,Shows,Shvws,Shgws,Shjws,Shiws,Shiws,Shaws
5544,Ueble,Xcbll,Hvbls,Ddblc,Iübla,Iobla,Üubli
5545,Zyste,Zystr,Zystw,Zystx,Zysto,Zysta,Zysti
5546,grau,gryb,grql,grsf,grou,grui,griu
5547,Mac,Mwc,Mnc,Mlc,Muc,Möc,Moc
5548,lauf,lysf,lclf,lpjf,laaf,laef,luif
5549,Haie,Hdnp,Hfpv,Htkd,Heao,Huöa,Höaü
5550,Prof,Prjf,Prsf,Pryf,Prif,Pruf,Praf
5551,Dummy,Dpmmy,Dhmmy,Dqmmy,Dimmy,Dammy,Demmy
5552,fragt,frqgt,frsgt,frsgt,frogt,frigt,frägt
5553,Hexen,Hnxvn,Hpxbn,Hlxnn,Hüxon,Haxan,Häxün
5554,links,ldnks,lhnks,lwnks,lenks,lunks,lonks
5555,filmt,fglmt,fylmt,fylmt,folmt,folmt,fulmt
5556,Mulde,Mbldn,Myldm,Mwldp,Moldu,Muldo,Muldo
5557,freut,frwzt,frpct,frhqt,freot,fraut,früot
5558,Depot,Dhpzt,Dnpzt,Dfpgt,Düput,Duput,Dipot
5559,mach,mwch,mcch,mxch,mech,moch,mech
5560,Brand,Brynd,Brnnd,Brfnd,Bränd,Brund,Brönd
5561,inkl,snkl,knkl,vnkl,onkl,onkl,enkl
5562,Kluft,Klbft,Klzft,Klxft,Klüft,Kleft,Klöft
5563,bumst,bbmst,bymst,btmst,bimst,bämst,bamst
5564,Hymne,Hymnd,Hymnw,Hymny,Hymnu,Hymnu,Hymni
5565,neun,nnpn,nwzn,ndwn,nuen,naan,nain
5566,Juni,Jxny,Jrnk,Jlnz,Junö,Jinu,Jöne
5567,schal,schgl,schgl,schpl,schel,schil,schol
5568,Intim,Nntzm,Cntwm,Yntgm,Ontim,Intum,Öntum
